Filepath                                                                  , Overlap Count, Average Overlapping Items
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740618846401-1740619346601.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740619346701-1740619846601.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740619846701-1740620346802.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740620346902-1740620847602.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740620847702-1740621348002.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740621348102-1740621848702.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740621848802-1740622349208.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740622349308-1740622849908.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740622850008-1740623350008.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740623350108-1740623851008.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740623851108-1740624351908.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740624352008-1740624851908.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740624852008-1740625352308.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740625352408-1740625852904.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740625853004-1740626353504.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740626353604-1740626853904.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740626854004-1740627354604.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740627354704-1740627855204.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740627855304-1740628355904.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740628356004-1740628857104.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740628857004-1740629357900.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740629358000-1740629858100.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740629858200-1740630359402.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740630359502-1740630860302.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740630860402-1740631360902.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740631360802-1740631861905.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740631862005-1740632363405.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740632363505-1740632864203.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740632864303-1740633364303.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740633364403-1740633864905.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740633865005-1740634366305.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740634366405-1740634867708.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740634867808-1740635372105.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740635372205-1740635874105.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740635874205-1740636375103.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740636375203-1740636877103.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740636877203-1740637379703.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740637379803-1740637880103.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740637880203-1740638380903.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740638381003-1740638881003.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740638881103-1740639381503.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740639381603-1740639882303.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740639882403-1740640383308.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740640383408-1740640883808.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740640883908-1740641384308.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740641384408-1740641885108.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740641885208-1740642385508.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740642385608-1740642886808.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740642886908-1740643388408.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740643388308-1740643889702.json,             2,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740643889602-1740644390302.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740644390402-1740644891102.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740644891202-1740645392302.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740645392202-1740645892602.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740645892702-1740646393702.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740646393802-1740646896302.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740646896402-1740647397505.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740647397605-1740647897905.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740647897805-1740648398806.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740648398906-1740648899606.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740648899706-1740649401606.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740649401706-1740649904306.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740649904406-1740650408006.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740650408106-1740650909108.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740650909208-1740651411108.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740651411208-1740651913201.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740651913301-1740652417201.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740652417301-1740652923501.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740652923601-1740653428101.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740653428201-1740653929201.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740653929301-1740654430106.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740654430206-1740654931506.json,             1,                       2.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740654931306-1740655433506.json,             1,                       2.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740655433606-1740655935106.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740655935206-1740656435906.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740656436006-1740656937206.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740656937306-1740657438806.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740657438906-1740657940006.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740657940106-1740658440706.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740658440806-1740658941606.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740658941506-1740659443406.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740659443506-1740659945206.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740659945306-1740660446606.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740660446706-1740660948908.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740660949008-1740661450208.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740661450308-1740661951909.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740661952009-1740662453109.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740662453209-1740662954209.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740662954309-1740663454509.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740663454609-1740663954509.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740663954609-1740664454509.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740664454609-1740664954909.json,             1,                       2.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740664954709-1740665455104.json,             1,                       2.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740665455204-1740665955304.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740665955404-1740666455304.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740666455404-1740666955306.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740666955406-1740667455306.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740667455406-1740667955307.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740667955407-1740668455307.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740668455407-1740668955705.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740668955805-1740669455705.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740669455805-1740669955706.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740669955806-1740670455806.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740670455706-1740670955707.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740670955807-1740671455807.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740671455907-1740671955807.json,             0,                       0
